objection_id,stakeholder_group,objection_summary,evidence_required,source_evidence,status,analysis_response,decision_impact,revision_required,scenario_label
OBJ-001,Booking and operational teams,Booking data does not represent actual use.,"Booked, actual and effective utilisation evidence.",Milestones 4-11 persisted evidence and dashboard interpretation,partially_supported,The concern is retained in the decision record and briefing caveats.,Requires governance review before any implementation decision; no option is selected.,0,synthetic challenge scenario
OBJ-002,Workforce planning,Staffing shortages distort current utilisation.,Workforce availability and simulation bottleneck evidence.,Milestones 4-11 persisted evidence and dashboard interpretation,supported,The concern is retained in the decision record and briefing caveats.,Requires governance review before any implementation decision; no option is selected.,0,synthetic challenge scenario
OBJ-003,Clinical service leads,Specialist capacity cannot be released safely.,Protected and specialist room status.,Milestones 4-11 persisted evidence and dashboard interpretation,supported,The concern is retained in the decision record and briefing caveats.,Requires governance review before any implementation decision; no option is selected.,0,synthetic challenge scenario
OBJ-004,Clinical and operational leaders,Future demand may be understated.,Forecast intervals and demand basis.,Milestones 4-11 persisted evidence and dashboard interpretation,partially_supported,The concern is retained in the decision record and briefing caveats.,Requires governance review before any implementation decision; no option is selected.,0,synthetic challenge scenario
OBJ-005,Finance stakeholders,Transition costs may be incomplete.,Transition-cost components and sensitivity.,Milestones 4-11 persisted evidence and dashboard interpretation,supported,The concern is retained in the decision record and briefing caveats.,Requires governance review before any implementation decision; no option is selected.,0,synthetic challenge scenario
OBJ-006,Patient and accessibility interests,Patient travel may worsen.,Accessibility and service-move evidence.,Milestones 4-11 persisted evidence and dashboard interpretation,partially_supported,The concern is retained in the decision record and briefing caveats.,Requires governance review before any implementation decision; no option is selected.,0,synthetic challenge scenario
OBJ-007,Finance stakeholders,Positive NPV may be overstated.,"Risk-adjusted NPV, sensitivity and simulation linkage.",Milestones 4-11 persisted evidence and dashboard interpretation,supported,The concern is retained in the decision record and briefing caveats.,Requires governance review before any implementation decision; no option is selected.,0,synthetic challenge scenario
OBJ-008,Executive decision-makers,Mathematical feasibility does not prove operational deliverability.,Simulation resilience and workforce blocking evidence.,Milestones 4-11 persisted evidence and dashboard interpretation,supported,The concern is retained in the decision record and briefing caveats.,Requires governance review before any implementation decision; no option is selected.,1,synthetic challenge scenario
OBJ-009,Clinical and operational leaders,Remote activity assumptions may be too optimistic.,Remote demand and service continuity evidence.,Milestones 4-11 persisted evidence and dashboard interpretation,partially_supported,The concern is retained in the decision record and briefing caveats.,Requires governance review before any implementation decision; no option is selected.,0,synthetic challenge scenario
OBJ-010,Technical and analytical reviewers,Simulation assumptions may not reflect real service flow.,"Simulation engine, replications, thresholds and limitations.",Milestones 4-11 persisted evidence and dashboard interpretation,supported,The concern is retained in the decision record and briefing caveats.,Requires governance review before any implementation decision; no option is selected.,0,synthetic challenge scenario
